"gene","n_datasets_with_gene","non_imputed_First.trimester","non_imputed_Second.trimester","in_both_groups"
"1789",5,86,15,TRUE
"1794",5,66,15,TRUE
"1795",4,50,15,TRUE
"1804",4,50,15,TRUE
"1826",5,86,15,TRUE
"1837",5,66,15,TRUE
"1838",5,86,15,TRUE
"1839",4,50,15,TRUE
"1844",4,50,15,TRUE
"185",5,66,15,TRUE
"187",5,66,15,TRUE
"1870",5,86,15,TRUE
"1876",3,94,7,TRUE
"1879",5,66,15,TRUE
"1902",5,66,15,TRUE
"1903",5,86,15,TRUE
"1906",5,66,15,TRUE
"1909",5,66,15,TRUE
"1911",2,58,7,TRUE
"1933",3,94,7,TRUE
"1937",3,94,7,TRUE
"1948",5,86,15,TRUE
"1952",5,66,15,TRUE
"1955",4,50,15,TRUE
"195827",5,86,15,TRUE
"1959",5,66,15,TRUE
"1962",5,66,15,TRUE
"196410",5,66,15,TRUE
"196463",5,86,15,TRUE
"196483",1,42,7,TRUE
"196527",5,86,15,TRUE
"196528",5,86,15,TRUE
"196740",4,50,15,TRUE
"196743",5,86,15,TRUE
"196996",5,86,15,TRUE
"197257",5,86,15,TRUE
"197258",5,86,15,TRUE
"197259",5,66,15,TRUE
"1973",3,94,7,TRUE
"197370",5,86,15,TRUE
"1975",3,94,7,TRUE
"199",5,66,15,TRUE
"199221",4,50,15,TRUE
"199745",5,86,15,TRUE
"199746",5,86,15,TRUE
"199800",5,86,15,TRUE
"199870",5,86,15,TRUE
"199990",5,86,15,TRUE
"20",4,50,15,TRUE
"2000",5,86,15,TRUE
"200014",5,86,15,TRUE
"200030",3,94,7,TRUE
"2001",5,86,15,TRUE
"200132",5,66,15,TRUE
"200186",5,86,15,TRUE
"200312",5,86,15,TRUE
"200316",4,50,15,TRUE
"200350",1,42,7,TRUE
"200539",5,86,15,TRUE
"200728",4,50,15,TRUE
"200734",5,86,15,TRUE
"200916",5,86,15,TRUE
"200933",5,86,15,TRUE
"201134",4,50,15,TRUE
"201243",5,86,15,TRUE
"201255",5,86,15,TRUE
"201475",5,86,15,TRUE
"201501",5,86,15,TRUE
"201595",5,86,15,TRUE
"201633",4,50,15,TRUE
"201725",5,66,15,TRUE
"2018",4,50,15,TRUE
"201931",5,86,15,TRUE
"201965",3,94,7,TRUE
"202",5,86,15,TRUE
"202051",4,50,15,TRUE
"202052",5,86,15,TRUE
"2021",5,86,15,TRUE
"202151",4,50,15,TRUE
"2027",5,86,15,TRUE
"203",5,86,15,TRUE
"203069",5,86,15,TRUE
"203427",5,86,15,TRUE
"203447",5,66,15,TRUE
"203522",5,66,15,TRUE
"203547",5,86,15,TRUE
"203562",5,86,15,TRUE
"2042",4,50,15,TRUE
"2043",5,66,15,TRUE
"2046",4,50,15,TRUE
"2048",5,66,15,TRUE
"205251",5,86,15,TRUE
"206358",5,66,15,TRUE
"206412",4,50,15,TRUE
"207063",5,86,15,TRUE
"2073",3,94,7,TRUE
"2077",5,86,15,TRUE
"2086",5,66,15,TRUE
"21",5,66,15,TRUE
"2101",5,86,15,TRUE
"2113",4,50,15,TRUE
"2116",4,50,15,TRUE
"2122",4,50,15,TRUE
"2124",5,66,15,TRUE
"213",5,86,15,TRUE
"2140",5,86,15,TRUE
"2146",5,86,15,TRUE
"2149",4,50,15,TRUE
"2150",4,50,15,TRUE
"216",5,66,15,TRUE
"2167",5,66,15,TRUE
"2170",4,50,15,TRUE
"2171",3,94,7,TRUE
"2182",3,94,7,TRUE
"219",5,86,15,TRUE
"219285",5,66,15,TRUE
"219348",4,50,15,TRUE
"2194",5,86,15,TRUE
"219473",1,42,7,TRUE
"219493",1,42,7,TRUE
"2195",5,66,15,TRUE
"219623",4,50,15,TRUE
"219699",5,86,15,TRUE
"219736",5,66,15,TRUE
"219749",5,66,15,TRUE
"219771",5,86,15,TRUE
"219854",5,86,15,TRUE
"219858",1,42,7,TRUE
"2199",5,86,15,TRUE
"219931",5,66,15,TRUE
"219972",4,50,15,TRUE
"220001",5,86,15,TRUE
"220032",1,42,7,TRUE
"220164",5,66,15,TRUE
"2202",5,86,15,TRUE
"220323",5,86,15,TRUE
"220388",4,50,15,TRUE
"220441",4,50,15,TRUE
"220869",2,78,7,TRUE
"2209",1,42,7,TRUE
"220972",4,50,15,TRUE
"220992",4,50,15,TRUE
"221035",5,86,15,TRUE
"221037",5,86,15,TRUE
"221061",4,50,15,TRUE
"221092",5,86,15,TRUE
"221150",5,86,15,TRUE
"2212",2,78,7,TRUE
"221303",5,86,15,TRUE
"221322",5,66,15,TRUE
"221357",3,94,7,TRUE
"2214",2,78,7,TRUE
"221400",4,50,15,TRUE
"221458",5,66,15,TRUE
"221468",5,86,15,TRUE
"2215",5,86,15,TRUE
"221545",5,86,15,TRUE
"221710",5,86,15,TRUE
"221785",5,86,15,TRUE
"2218",5,66,15,TRUE
"221895",4,50,15,TRUE
"221914",5,86,15,TRUE
"221937",5,86,15,TRUE
"221960",3,94,7,TRUE
"221981",5,86,15,TRUE
"222068",5,86,15,TRUE
"222166",5,86,15,TRUE
"222194",5,66,15,TRUE
"222223",5,66,15,TRUE
"222389",4,50,15,TRUE
"222546",5,66,15,TRUE
"222584",5,86,15,TRUE
"222643",5,66,15,TRUE
"222962",5,66,15,TRUE
"222967",2,78,7,TRUE
"2254",4,50,15,TRUE
"2257",5,86,15,TRUE
"2258",5,66,15,TRUE
"226",3,94,7,TRUE
"2262",4,50,15,TRUE
"2267",5,66,15,TRUE
"2268",5,86,15,TRUE
"2273",5,66,15,TRUE
"2275",5,86,15,TRUE
"22801",4,50,15,TRUE
"22806",4,50,15,TRUE
"22807",5,86,15,TRUE
"22808",5,86,15,TRUE
"2281",5,86,15,TRUE
"22822",5,86,15,TRUE
"22824",4,50,15,TRUE
"22832",5,86,15,TRUE
"22835",5,66,15,TRUE
"22847",5,86,15,TRUE
"22848",5,86,15,TRUE
"22849",5,66,15,TRUE
"22853",5,86,15,TRUE
"22859",5,86,15,TRUE
"2286",3,94,7,TRUE
"22863",5,66,15,TRUE
"22871",4,50,15,TRUE
"22875",5,66,15,TRUE
"22879",5,86,15,TRUE
"22881",5,86,15,TRUE
"22882",5,66,15,TRUE
"2289",5,66,15,TRUE
"22902",5,86,15,TRUE
"22906",5,86,15,TRUE
"22911",5,66,15,TRUE
"22915",5,66,15,TRUE
"22924",5,66,15,TRUE
"22925",4,50,15,TRUE
"22932",2,78,7,TRUE
"2295",5,66,15,TRUE
"22977",5,86,15,TRUE
"22979",5,86,15,TRUE
"2298",1,42,7,TRUE
"22984",4,50,15,TRUE
"22993",4,50,15,TRUE
"22994",5,86,15,TRUE
"230",5,86,15,TRUE
"23023",5,86,15,TRUE
"23024",5,66,15,TRUE
"2303",5,86,15,TRUE
"23030",5,66,15,TRUE
"23031",4,50,15,TRUE
"23034",5,86,15,TRUE
"23035",5,86,15,TRUE
"23051",5,86,15,TRUE
"23052",5,86,15,TRUE
"23060",5,86,15,TRUE
"23066",4,50,15,TRUE
"23067",5,86,15,TRUE
"23087",5,86,15,TRUE
"23089",5,86,15,TRUE
"23090",4,50,15,TRUE
"23094",4,50,15,TRUE
"23096",5,86,15,TRUE
"23097",5,86,15,TRUE
"23098",5,66,15,TRUE
"23099",5,86,15,TRUE
"23105",4,50,15,TRUE
"23108",5,66,15,TRUE
"23112",5,86,15,TRUE
"23116",5,66,15,TRUE
"23117",2,78,7,TRUE
"23122",5,86,15,TRUE
"23127",4,50,15,TRUE
"23135",5,86,15,TRUE
