"gene","n_datasets_with_gene","non_imputed_First.trimester","non_imputed_Second.trimester","in_both_groups"
"10563",1,4,4,TRUE
"10566",1,4,4,TRUE
"10570",1,4,4,TRUE
"10578",1,4,4,TRUE
"10586",1,4,4,TRUE
"10590",1,4,4,TRUE
"10595",1,4,4,TRUE
"10602",1,4,4,TRUE
"10633",1,4,4,TRUE
"10634",1,4,4,TRUE
"10636",1,4,4,TRUE
"10637",1,4,4,TRUE
"10647",1,4,4,TRUE
"10648",1,4,4,TRUE
"10652",1,4,4,TRUE
"10655",1,4,4,TRUE
"10659",1,4,4,TRUE
"10660",1,4,4,TRUE
"10661",1,4,4,TRUE
"10665",1,4,4,TRUE
"10666",1,4,4,TRUE
"10669",1,4,4,TRUE
"106707243",1,4,4,TRUE
"10675",1,4,4,TRUE
"1068",1,4,4,TRUE
"10681",1,4,4,TRUE
"10683",1,4,4,TRUE
"10687",1,4,4,TRUE
"10690",1,4,4,TRUE
"10692",1,4,4,TRUE
"10699",1,4,4,TRUE
"107",1,4,4,TRUE
"10715",1,4,4,TRUE
"10716",1,4,4,TRUE
"10718",1,4,4,TRUE
"10723",1,4,4,TRUE
"10736",1,4,4,TRUE
"10738",1,4,4,TRUE
"10739",1,4,4,TRUE
"10744",1,4,4,TRUE
"10746",1,4,4,TRUE
"10747",1,4,4,TRUE
"10752",1,4,4,TRUE
"10753",1,4,4,TRUE
"10777",1,4,4,TRUE
"10786",1,4,4,TRUE
"10793",1,4,4,TRUE
"10798",1,4,4,TRUE
"107984345",1,4,4,TRUE
"107984936",1,4,4,TRUE
"107985194",1,4,4,TRUE
"107986768",1,4,4,TRUE
"108",1,4,4,TRUE
"1080",1,4,4,TRUE
"10803",1,4,4,TRUE
"10804",1,4,4,TRUE
"10810",1,4,4,TRUE
"10814",1,4,4,TRUE
"10825",1,4,4,TRUE
"1084",1,4,4,TRUE
"10840",1,4,4,TRUE
"10841",1,4,4,TRUE
"10842",1,4,4,TRUE
"10846",1,4,4,TRUE
"10849",1,4,4,TRUE
"10850",1,4,4,TRUE
"10858",1,4,4,TRUE
"10861",1,4,4,TRUE
"10863",1,4,4,TRUE
"10864",1,4,4,TRUE
"10865",1,4,4,TRUE
"10868",1,4,4,TRUE
"10869",1,4,4,TRUE
"1087",1,4,4,TRUE
"10876",1,4,4,TRUE
"10878",1,4,4,TRUE
"10879",1,4,4,TRUE
"1088",1,4,4,TRUE
"10880",1,4,4,TRUE
"10881",1,4,4,TRUE
"10882",1,4,4,TRUE
"10885",1,4,4,TRUE
"10888",1,4,4,TRUE
"1089",1,4,4,TRUE
"10891",1,4,4,TRUE
"10893",1,4,4,TRUE
"10900",1,4,4,TRUE
"10902",1,4,4,TRUE
"10913",1,4,4,TRUE
"10917",1,4,4,TRUE
"10926",1,4,4,TRUE
"10936",1,4,4,TRUE
"10940",1,4,4,TRUE
"10942",1,4,4,TRUE
"10957",1,4,4,TRUE
"10991",1,4,4,TRUE
"10993",1,4,4,TRUE
"10998",1,4,4,TRUE
"10999",1,4,4,TRUE
"11006",1,4,4,TRUE
"11009",1,4,4,TRUE
"1101",1,4,4,TRUE
"11012",1,4,4,TRUE
"11016",1,4,4,TRUE
"11024",1,4,4,TRUE
"11027",1,4,4,TRUE
"1103",1,4,4,TRUE
"1104",1,4,4,TRUE
"11045",1,4,4,TRUE
"11055",1,4,4,TRUE
"110599564",1,4,4,TRUE
"11061",1,4,4,TRUE
"11063",1,4,4,TRUE
"11069",1,4,4,TRUE
